lucide_backend  | 2025-12-23 18:11:16,773 - httpx - INFO - HTTP Request: GET https://v3.football.api-sports.io/teams?search=RD%20Congo "HTTP/1.1 200 OK"
lucide_backend  | 2025-12-23 18:11:16,775 - backend.api.football_api - INFO - API Response: 0 results
lucide_backend  | 2025-12-23 18:11:16,776 - backend.tools.football - INFO - Tool search_team executed in 0.160s with args={'team_name': 'RD Congo'}
lucide_backend  | 2025-12-23 18:11:19,227 - httpx - INFO - HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
lucide_backend  | 2025-12-23 18:11:19,233 - backend.agents.tool_agent - INFO - Executing tool search_team with args {'team_name': 'République Démocratique du Congo'}
lucide_backend  | 2025-12-23 18:11:19,234 - backend.api.football_api - INFO - API Request: teams with params: {'search': 'République Démocratique du Congo'}
lucide_backend  | 2025-12-23 18:11:19,268 - httpx - INFO - HTTP Request: GET https://v3.football.api-sports.io/teams?search=R%C3%A9publique%20D%C3%A9mocratique%20du%20Congo "HTTP/1.1 200 OK"
lucide_backend  | 2025-12-23 18:11:19,269 - backend.api.football_api - ERROR - API Error on teams: {'search': 'The Search field may only contain alpha-numeric characters and spaces.'}
lucide_backend  | 2025-12-23 18:11:19,271 - backend.tools.football - ERROR - Tool execution error for search_team: API Error: {'search': 'The Search field may only contain alpha-numeric characters and spaces.'}
lucide_backend  | Traceback (most recent call last):
lucide_backend  |   File "/app/backend/tools/football.py", line 1116, in execute_tool
lucide_backend  |     team = await api_client.search_team(args["team_name"])
lucide_backend  |   File "/app/backend/api/football_api.py", line 1054, in search_team
lucide_backend  |     teams = await self.get_teams(search=team_name)
lucide_backend  |   File "/app/backend/api/football_api.py", line 331, in get_teams
lucide_backend  |     data = await self._make_request("teams", params)
lucide_backend  |   File "/app/backend/api/football_api.py", line 94, in _make_request
lucide_backend  |     raise FootballAPIError(f"API Error: {data['errors']}", status_code=response.status_code)
lucide_backend  | backend.api.football_api.FootballAPIError: API Error: {'search': 'The Search field may only contain alpha-numeric characters and spaces.'}
lucide_backend  | 2025-12-23 18:11:19,417 - backend.tools.football - INFO - Tool search_team executed in 0.184s with args={'team_name': 'République Démocratique du Congo'}
lucide_backend  | 2025-12-23 18:11:20,943 - httpx - INFO - HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
lucide_backend  | 2025-12-23 18:11:20,954 - backend.agents.tool_agent - INFO - Executing tool search_team with args {'team_name': 'RD Congo'}
lucide_backend  | 2025-12-23 18:11:20,955 - backend.api.football_api - INFO - API Request: teams with params: {'search': 'RD Congo'}
lucide_backend  | 2025-12-23 18:11:21,018 - httpx - INFO - HTTP Request: GET https://v3.football.api-sports.io/teams?search=RD%20Congo "HTTP/1.1 200 OK"
lucide_backend  | 2025-12-23 18:11:21,019 - backend.api.football_api - INFO - API Response: 0 results
lucide_backend  | 2025-12-23 18:11:21,020 - backend.tools.football - INFO - Tool search_team executed in 0.065s with args={'team_name': 'RD Congo'}
lucide_backend  | 2025-12-23 18:11:21,021 - backend.agents.tool_agent - INFO - ================================================================================
lucide_backend  | 2025-12-23 18:11:21,021 - backend.agents.tool_agent - INFO - DEBUT FORCE CRITICAL TOOLS FOR MATCH ANALYSIS
lucide_backend  | 2025-12-23 18:11:21,021 - backend.agents.tool_agent - INFO - Intent: analyse_rencontre
lucide_backend  | 2025-12-23 18:11:21,021 - backend.agents.tool_agent - INFO - Entities: {'home_team': 'RD Congo', 'away_team': 'Benin'}
lucide_backend  | 2025-12-23 18:11:21,021 - backend.agents.tool_agent - INFO - Available tools: {'search_team'}
lucide_backend  | 2025-12-23 18:11:21,021 - backend.agents.tool_agent - INFO - Missing required tools: {'fixture_rounds', 'team_last_fixtures', 'standings', 'fixture_lineups', 'head_to_head', 'injuries', 'team_statistics', 'fixtures_search'}
lucide_backend  | 2025-12-23 18:11:21,021 - backend.agents.tool_agent - INFO - Team IDs discovered: [1516]
lucide_backend  | 2025-12-23 18:11:21,022 - backend.agents.tool_agent - INFO - Fixture ID: None
lucide_backend  | 2025-12-23 18:11:21,022 - backend.agents.tool_agent - INFO - League ID: None
lucide_backend  | 2025-12-23 18:11:21,022 - backend.agents.tool_agent - INFO - Season: None
lucide_backend  | 2025-12-23 18:11:21,022 - backend.agents.tool_agent - WARNING - Force critical tools: not enough teams found (1); skipping force execution.
lucide_backend  | 2025-12-23 18:11:21,022 - backend.agents.pipeline - WARNING - analyse_rencontre: missing critical data from tools: ['fixtures_search', 'head_to_head', 'standings', 'team_last_fixtures', 'team_statistics']
lucide_backend  | 2025-12-23 18:11:21,023 - backend.agents.pipeline - INFO - Using model_type='slow' for analysis and response
lucide_backend  | 2025-12-23 18:11:21,444 - httpx - INFO - HTTP Request: POST https://api.deepseek.com/chat/completions "HTTP/1.1 200 OK"
lucide_backend  | 2025-12-23 18:11:31,255 - httpx - INFO - HTTP Request: POST https://api.deepseek.com/chat/completions "HTTP/1.1 200 OK"
lucide_backend  | 2025-12-23 18:11:46,792 - backend.agents.pipeline - INFO - pipeline_timing intent=4.94s tools=6.69s analysis=11.72s response=15.90s total=39.26s
lucide_backend  | INFO:     172.22.0.1:37070 - "POST /chat HTTP/1.1" 200 OK
